"Submission ID","Last updated","Submission started","Status","Current step","Which Document are you rating?","Content Relevance","Technical Accuracy","Practicality of Advice","Clarity and Structure","Innovation and Insightfulness","Errors","Url","Network ID"
"d073636f-9d45-4bf3-9085-8ca789174518","Mon Sep 16 2024 08:56:00 GMT+0200 (Central European Summer Time)","Mon Sep 16 2024 08:56:00 GMT+0200 (Central European Summer Time)","finished","Ending","D14","9","9","10","9","9","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=d073636f-9d45-4bf3-9085-8ca789174518","b532c216a75b30ffab1d33d894985d62"
"1e38cf1f-12ee-47f3-88bb-73ad970771d8","Mon Sep 16 2024 08:54:00 GMT+0200 (Central European Summer Time)","Mon Sep 16 2024 08:54:00 GMT+0200 (Central European Summer Time)","finished","Ending","D13","8","8","9","7","7","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=1e38cf1f-12ee-47f3-88bb-73ad970771d8","b532c216a75b30ffab1d33d894985d62"
"370162fb-99ba-4095-8063-f5a92d2c0cc3","Mon Sep 16 2024 08:53:00 GMT+0200 (Central European Summer Time)","Mon Sep 16 2024 08:53:00 GMT+0200 (Central European Summer Time)","finished","Ending","D8","9","9","10","9","8","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=370162fb-99ba-4095-8063-f5a92d2c0cc3","b532c216a75b30ffab1d33d894985d62"
"a0eb4061-783d-4281-99ce-4205af2015f0","Mon Sep 16 2024 08:51:00 GMT+0200 (Central European Summer Time)","Mon Sep 16 2024 08:51:00 GMT+0200 (Central European Summer Time)","finished","Ending","D7","8","9","10","8","7","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=a0eb4061-783d-4281-99ce-4205af2015f0","b532c216a75b30ffab1d33d894985d62"
"774027cd-c986-4162-a84e-6bd029f70109","Sun Sep 15 2024 20:46:00 GMT+0200 (Central European Summer Time)","Sun Sep 15 2024 20:46:00 GMT+0200 (Central European Summer Time)","finished","Ending","D4","9","8","9","6","8","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=774027cd-c986-4162-a84e-6bd029f70109","b532c216a75b30ffab1d33d894985d62"
"58096052-ebc1-466c-9d7a-ddc4af60b9bc","Sun Sep 15 2024 20:44:00 GMT+0200 (Central European Summer Time)","Sun Sep 15 2024 20:44:00 GMT+0200 (Central European Summer Time)","finished","Ending","D3","9","8","10","6","8","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=58096052-ebc1-466c-9d7a-ddc4af60b9bc","b532c216a75b30ffab1d33d894985d62"
"16375d3d-de17-4f77-9731-0a3aebaebb7a","Sun Sep 15 2024 19:06:00 GMT+0200 (Central European Summer Time)","Sun Sep 15 2024 19:06:00 GMT+0200 (Central European Summer Time)","finished","Ending","D13","7","7","6","7","8","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=16375d3d-de17-4f77-9731-0a3aebaebb7a","19b6578b4f3e4197e62072fda9ffb351"
"08597cac-4fa6-4205-b802-82b9cde2c969","Sun Sep 15 2024 19:05:00 GMT+0200 (Central European Summer Time)","Sun Sep 15 2024 19:05:00 GMT+0200 (Central European Summer Time)","finished","Ending","D14","10","9","8","9","8","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=08597cac-4fa6-4205-b802-82b9cde2c969","19b6578b4f3e4197e62072fda9ffb351"
"a6dfe88b-62e9-41f0-9118-fc012c6a1fc6","Sun Sep 15 2024 19:01:00 GMT+0200 (Central European Summer Time)","Sun Sep 15 2024 19:01:00 GMT+0200 (Central European Summer Time)","finished","Ending","D8","8","9","9","9","9","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=a6dfe88b-62e9-41f0-9118-fc012c6a1fc6","19b6578b4f3e4197e62072fda9ffb351"
"98b39a20-fd79-4543-a88f-44ea135463c7","Sun Sep 15 2024 18:55:00 GMT+0200 (Central European Summer Time)","Sun Sep 15 2024 18:55:00 GMT+0200 (Central European Summer Time)","finished","Ending","D7","5","4","5","5","5","None","https://build.fillout.com/editor/ipbrYZCDCsus/results?sessionId=98b39a20-fd79-4543-a88f-44ea135463c7","19b6578b4f3e4197e62072fda9ffb351"
